"library","modelName","addedBy","performance1","datasetId","featureCount"
"mlr","classif.binomial","Adamoso",0.7063492,"kaggle_beauty",10
"mlr","classif.randomForest","BogdanJastrzebski",0.7521311,"kaggle_heart-disease",14
"mlr","classif.svm","hubertbaniecki",0.9397,"kaggle_pokemon",10
"mlr","classif.gbm","hubertbaniecki",0.9203,"kaggle_pokemon",10
"mlr","classif.other","hubertbaniecki",0.9204,"kaggle_pokemon",10
"mlr","classif.mda","hubertbaniecki",0.9324,"kaggle_pokemon",10
"mlr","classif.gbm","hubertbaniecki",0.6722,"kaggle_Toy-Dataset",5
"mlr","classif.gbm","hubertbaniecki",0.6739,"kaggle_Toy-Dataset",5
"mlr","classif.gbm","hubertbaniecki",0.6951,"kaggle_Toy-Dataset",5
"mlr","classif.svm","wernerolaf",0.3245,"openml_aids",5
"scikit","classif.randomForest","Siemashko",0.625,"openml_aids",5
"mlr","classif.randomForest","BogdanJastrzebski",0.8460563,"openml_artificial-characters",8
"caret","classif.glmnet","GoniaW",0.2263658,"openml_artificial-characters",8
"mlr","classif.lda","GoniaW",0.3417,"openml_artificial-characters",8
"mlr","classif.lda","GoniaW",0.3417,"openml_artificial-characters",8
"mlr","classif.cvglmnet","GoniaW",0.1386,"openml_artificial-characters",8
"mlr","classif.cvglmnet","GoniaW",0.1386,"openml_artificial-characters",8
"mlr","classif.knn","GoniaW",0.7266,"openml_artificial-characters",8
"mlr","classif.lda","GoniaW",0.3417,"openml_artificial-characters",8
"mlr","classif.naiveBayes","GoniaW",0.2672,"openml_artificial-characters",8
"mlr","classif.lda","GoniaW",0.3417,"openml_artificial-characters",8
"mlr","classif.boosting","Adamoso",0.9748,"auto_price",16
"caret","treebag","Adamoso",0.8256965,"auto_price",16
"mlr","classif.svm","wernerolaf",0.9127,"openml_banana",3
"mlr","classif.randomForest","airi314",0.9082,"openml_bank-marketing",17
"mlr","classif.ada","michalSt98",0.9053,"openml_bank",17
"mlr","classif.other","michalSt98",0.8994,"openml_bank",17
"mlr","classif.other","michalSt98",0.9042,"openml_bank",17
"mlr","classif.gbm","michalSt98",0.8987,"openml_bank",17
"mlr","classif.knn","michalSt98",0.8933,"openml_bank",17
"mlr","classif.naiveBayes","michalSt98",0.877,"openml_bank",17
"mlr","classif.other","michalSt98",0.9002,"openml_bank",17
"mlr","classif.earth","michalSt98",0.9037,"openml_bank",17
"mlr","classif.ranger","Pastuszka",0.9927,"openml_banknote-authentication",5
"mlr","classif.ranger","Pastuszka",0.9927,"openml_banknote-authentication",5
"mlr","classif.ranger","Pastuszka",0.9927,"openml_banknote-authentication",5
"mlr","classif.ranger","Pastuszka",0.9927,"openml_banknote-authentication",5
"mlr","classif.ranger","Pastuszka",0.9927,"openml_banknote-authentication",5
"mlr","classif.other","Pastuszka",0.9978129,"openml_banknote-authentication",5
"mlr","classif.ranger","Pastuszka",0.9927,"openml_banknote-authentication",5
"mlr","classif.ranger","Pastuszka",0.9927,"openml_banknote-authentication",5
"mlr","classif.ranger","Pastuszka",0.9927,"openml_banknote-authentication",5
"mlr","classif.ranger","Pastuszka",0.9927,"openml_banknote-authentication",5
"mlr","classif.ranger","Pastuszka",0.9927,"openml_banknote-authentication",5
"mlr","classif.ranger","Pastuszka",0.9927,"openml_banknote-authentication",5
"mlr","classif.ranger","Pastuszka",0.9927,"openml_banknote-authentication",5
"mlr","classif.ranger","Pastuszka",0.9927,"openml_banknote-authentication",5
"mlr","classif.ranger","Pastuszka",0.9927,"openml_banknote-authentication",5
"mlr","classif.ranger","Pastuszka",0.9927,"openml_banknote-authentication",5
"scikit","classif.other","Siemashko",0.769911504424779,"openml_blood-transfusion-service-center",5
"mlr","classif.svm","wernerolaf",0.8598,"openml_blood-transfusion-service-center",5
"mlr","classif.ada","maksymiuks",0.8854,"openml_boston",14
"mlr","classif.binomial","maksymiuks",0.8596,"openml_boston",14
