MSE,RMS,MAE,R2,ACC,AUC,SPE,REC,PRE,F1,model_ID
0.033,0.1817,0.1217,0.8662,NA,NA,NA,NA,NA,NA,25d9d874a28a8989e295fe65b193f1c7
17.82939,4.2184414,2.3967374,0.1943873,NA,NA,NA,NA,NA,NA,d610b12484e0832865b7770a58e3e252
0.9610404,0.980326,0.098032,0.960326,NA,NA,NA,NA,NA,NA,3b3b244bb8c811eee2435d534406befe
NA,NA,NA,NA,0.9397,0.9644,0.5175,0.9814,0.9538,0.9672,7d6b129d7f85a0cf7543cd8573269ae0
NA,NA,NA,NA,0.9203,0.9527,0.3738,0.9758,0.938,0.9564,c1579c748aa05b7c01dde63362f8f1e2
NA,NA,NA,NA,0.9204,0.9538,0.5663,0.9552,0.9582,0.9558,d2283d09084bcb91fce646cfb43f9690
NA,NA,NA,NA,0.9324,0.9399,0.5724,0.968,0.9581,0.9629,fc0d20ed4fcd676a328dacd71d5cf60c
69.15261,8.315805,6.597948,0.8949159,NA,NA,NA,NA,NA,NA,61f01a1058d3d2a2f0cc0ae3061f94e4
0.3928939,0.6268125,0.4881664,0.4073513,NA,NA,NA,NA,NA,NA,40bcd69481d6bc53abafa56e7a316146
0.3242,0.5694,0.4188,0.5083,NA,NA,NA,NA,NA,NA,5ca1382e2db158d4bd18e43dc91441dd
0.394638,0.6282022,0.484582,0.3983393,NA,NA,NA,NA,NA,NA,d8b526d0c578c78ff4430d521ba48ccb
0.0049628,0.070446972,0.040816092,0.328702076,NA,NA,NA,NA,NA,NA,578d766e499119fbe9057e45d739663d
NA,NA,NA,NA,0.6722,0.7286,0.8131,0.4939,0.6763,0.5707,4ee591b5cb17ed4fa2f332ad7998b950
NA,NA,NA,NA,0.6739,0.7239,0.8089,0.5029,0.6753,0.5765,cceb7a7795cc60c06fcf686110b07ee4
NA,NA,NA,NA,0.6951,0.7589,0.7716,0.5982,0.6742,0.6339,def026ac76b696bfc9aea433d9a1e581
0.2431,0.493,0.4851,0.0199,NA,NA,NA,NA,NA,NA,9f6a685a9d30e47223fdd383258ecae5
170606832,13061.66,10092.32,0.4486211,NA,NA,NA,NA,NA,NA,e0ae5a9a07b95e41e81739b94d67735b
0.1711,0.4137,0.3074,0.4323,NA,NA,NA,NA,NA,NA,3561eb2e52cf1ee0fa4502b510801758
0.0331,0.1819,0.11,0.8907,NA,NA,NA,NA,NA,NA,488606e0a89585c238575f03131e0f33
0.3838,0.6195,0.2399,-0.2428,NA,NA,NA,NA,NA,NA,51b8e2f48c66ac820cada52aa54d1483
0.1711,0.4137,0.3074,0.4323,NA,NA,NA,NA,NA,NA,5849e2aea87ed90dd38e7c98bdb64590
0.1711,0.4137,0.3074,0.4323,NA,NA,NA,NA,NA,NA,6fe1f9f980720b71efc6c5ea52585822
0.0361,0.1901,0.095,0.8807,NA,NA,NA,NA,NA,NA,761b17cb819d8ff237dc1a2123dcbda3
68.5043,8.2767,6.2536,-226.6721,NA,NA,NA,NA,NA,NA,aece76ec5ccb179dff9ec77054b75953
0.1711,0.4137,0.3074,0.4323,NA,NA,NA,NA,NA,NA,db5736627d99e042713619bfff9de5b1
0.1711,0.4137,0.3074,0.4323,NA,NA,NA,NA,NA,NA,dd3a1d136344582738d15090bbf6ac58
62.096174,7.8801126,6.2554594,0.4977999,NA,NA,NA,NA,NA,NA,e70039ead53198c467a8f17f4a705d34
149.8716,12.2422,9.0172,0.8377,NA,NA,NA,NA,NA,NA,70c912dc6d606a85501e09c8afbefec6
177.2695,13.3143,8.6664,0.8074,NA,NA,NA,NA,NA,NA,76bdc1c58aff873c81916cab6223724c
14709.9604,121.2846,120.7388,-112.307,NA,NA,NA,NA,NA,NA,72304e35adc17774e4b2eff429ad48c8
19.81668,4.451593,3.451177,0.850392,NA,NA,NA,NA,NA,NA,f43eac1d8cca3d365c54df528994169a
6914147.8628,2629.4767,1882.3674,0.7765,NA,NA,NA,NA,NA,NA,0dafe44ce3fe0e84c415260b9dc4f220
7111593.9813,2666.7572,1915.2552,0.7697,NA,NA,NA,NA,NA,NA,1adc10c9186f2ccc42cbb293c0009d0c
75994544.8267,8717.485,4864.8463,-1.242,NA,NA,NA,NA,NA,NA,437d67593eba67c27e223e757a1d72ad
9172452.7405,3028.6057,1781.3488,0.7291,NA,NA,NA,NA,NA,NA,4559bce5b39f66237b1f850b2e4543a0
12243798.4042,3499.1139,2024.1006,0.6247,NA,NA,NA,NA,NA,NA,4643106e0373dd8682e15b91bdbd3020
7111596.3146,2666.7576,1915.2566,0.7697,NA,NA,NA,NA,NA,NA,82003a15e55a7702dafd4e106753c3c1
7111596.3151,2666.7576,1915.2566,0.7697,NA,NA,NA,NA,NA,NA,9b28e92d084bfd519f1b731431248f9a
6922451.3929,2631.0552,1883.8056,0.7762,NA,NA,NA,NA,NA,NA,a9a0cbdf0a4925168aa15c8d8aeedf76
7533825.3072,2744.7815,1620.3632,0.7781,NA,NA,NA,NA,NA,NA,dd727d3a588c928dc9b8066c643a480a
NA,NA,NA,NA,0.9022642,0.9659427,0.8715205,0.9274817,0.8986402,0.9127195,6980a7661aa7129e50550408000fa143
NA,NA,NA,NA,0.9053,0.925,0.397,0.9726,0.9241,0.9478,19df07e2ad30532f5143974ec555db82
NA,NA,NA,NA,0.8994,0.8962,0.2572,0.9844,0.9091,0.9453,3067cfb5d81c84c8bb60176c9de06d3d
NA,NA,NA,NA,0.9042,0.9151,0.5217,0.9549,0.9378,0.9463,442a06bdb7f7ca926f350241ffa1d866
NA,NA,NA,NA,0.8987,0.9052,0.2791,0.9808,0.9112,0.9448,4e48f327ad968786f912baa370f469e6
NA,NA,NA,NA,0.9015,0.9063,0.3442,0.9754,0.9182,0.9459,566a24ba0e74b4a1d62748e5296cc61b
NA,NA,NA,NA,0.8933,0.8423,0.3681,0.9629,0.92,0.941,b39d771db3ac1058d3bc7de57f97d78d
NA,NA,NA,NA,0.877,0.8586,0.5272,0.9233,0.9365,0.9298,bd6ef888d96fc904b3147adc3a1b4dc2
NA,NA,NA,NA,0.9002,0.8868,0.4767,0.9563,0.9324,0.9442,c3ea73f581864ec5d6cda2ea28194647
NA,NA,NA,NA,0.9037,0.9068,0.3804,0.973,0.9222,0.9469,d26a63f0cfe8e650be3df124396dde29
NA,NA,NA,NA,0.9007,0.76,0.3661,0.9715,0.9204,0.9453,f8b44110ff8358e71e3bbdaef2526f36
NA,NA,NA,NA,0.9082,0.9338,0.4871,0.964,0.9342,0.9489,3ad72ea5bd76d3b45ffd456aa5dcf17a
NA,NA,NA,NA,0.9015,0.9063,0.3442,0.9754,0.9182,0.9459,566a24ba0e74b4a1d62748e5296cc61b
NA,NA,NA,NA,0.9007,0.76,0.3661,0.9715,0.9204,0.9453,f8b44110ff8358e71e3bbdaef2526f36
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,026fbd7ebdee40e74ab7993231bdfeee
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,08048b48d78cc05fa7444c6f69da1393
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,0f416f89258de5a0f4945eb8979fe533
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,1fa946cb34beca9f85d58bbd3c4a23eb
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,217f9ced370bc9163b8d50118b911cf1
NA,NA,NA,NA,0.9978129,1,1,0.9961534,1,0.9980661,329e26fc4ac7088ca02526dd5ab088ea
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,444ba9284c6adba3028783216e79a967
NA,NA,NA,NA,0.9927,0.9999,0.9949,0.9908,0.9962,0.9935,5afabfed38d286d9c9b55f09d503fb9e
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,6a631ec3f8de09e3c8f6bbe8c3164a3a
NA,NA,NA,NA,0.9927,0.9999,0.9949,0.9908,0.9962,0.9935,719cff0a54618bd5aa48cb4fbb26a8b8
NA,NA,NA,NA,0.9927,0.9999,0.9949,0.9908,0.9962,0.9935,7e887a1f134ecfa0e2632ffb1169044d
NA,NA,NA,NA,0.9927,0.9999,0.9949,0.9908,0.9962,0.9935,a7543cdebc3c00e848f7dd9d80d0ab2b
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,e3fb4fd324d32fffb460764dee9d5895
NA,NA,NA,NA,0.9927,0.9999,0.9949,0.9908,0.9962,0.9935,e7a9ce270d8247e28aa7cc346b3a39c7
