library,model_name,numberOfCategoricalFeatures,numberOfNumericalFeatures,meanUniqueNumericalValues,meanUniqueCategoricalValues,meanNumberMissing,number_of_instances,ACC
mlr,classif.svm,3,7,73.14285714285714,12.666666666666666,0,800,0.9397
mlr,classif.gbm,3,7,73.14285714285714,12.666666666666666,0,800,0.9203
mlr,classif.rda,3,7,73.14285714285714,12.666666666666666,0,800,0.9204
mlr,classif.mda,3,7,73.14285714285714,12.666666666666666,0,800,0.9324
mlr,classif.gbm,3,2,35901,4,0,150000,0.6722
mlr,classif.gbm,3,2,35901,4,0,150000,0.6739
mlr,classif.gbm,3,2,35901,4,0,150000,0.6951
mlr,classif.randomForest,10,7,1356.7142857142858,4.6,0,45211,0.9082
mlr,classif.ada,10,7,1356.7142857142858,4.6,0,45211,0.9053
mlr,classif.glmboost,10,7,1356.7142857142858,4.6,0,45211,0.8994
mlr,classif.ctree,10,7,1356.7142857142858,4.6,0,45211,0.9042
mlr,classif.gbm,10,7,1356.7142857142858,4.6,0,45211,0.8987
mlr,classif.kknn,10,7,1356.7142857142858,4.6,0,45211,0.8933
mlr,classif.naiveBayes,10,7,1356.7142857142858,4.6,0,45211,0.877
mlr,classif.C50,10,7,1356.7142857142858,4.6,0,45211,0.9002
mlr,classif.earth,10,7,1356.7142857142858,4.6,0,45211,0.9037
mlr,classif.ranger,1,4,1255,2,0,1372,0.9927
mlr,classif.ranger,1,4,1255,2,0,1372,0.9927
mlr,classif.ranger,1,4,1255,2,0,1372,0.9927
mlr,classif.ranger,1,4,1255,2,0,1372,0.9927
mlr,classif.ranger,1,4,1255,2,0,1372,0.9927
mlr,classif.bartMachine,1,4,1255,2,0,1372,0.9978129
mlr,classif.ranger,1,4,1255,2,0,1372,0.9927
mlr,classif.ranger,1,4,1255,2,0,1372,0.9927
mlr,classif.ranger,1,4,1255,2,0,1372,0.9927
mlr,classif.ranger,1,4,1255,2,0,1372,0.9927
mlr,classif.ranger,1,4,1255,2,0,1372,0.9927
mlr,classif.ranger,1,4,1255,2,0,1372,0.9927
