"id","dset","lib","mname","target","columns","insts","model_param","target_iqr","target_diff","target_skewness","binary_factors","factors3to5","big_factors","nonskew_numerics","small_skew_numerics","big_skew_numerics","mse","rmse","mae","r2","metric"
"25d9d874a28a8989e295fe65b193f1c7","kaggle_barcelona-data-sets-accidents-2017","mlr","regr.svm","PartOfTheDay",6,10339,"regr.svm radial",1,1,1,0,0,0,1,0,4,0.033,0.1817,0.1217,0.8662,0.1817
"c147040bb9c51e29cb17df401adcd6f4","kaggle_MPI_national","mlr","regr.svm","MPI.Rural",6,102,"regr.svm linear",0.3595,0.669,0.248956884561892,0,0,0,2,2,1,4e-04,0.0206,0.0161,0.988,0.0307922272047833
"3561eb2e52cf1ee0fa4502b510801758","openml_analcatdata_supreme","mlr","regr.plsr","Log_exposure",8,4052,"regr.plsr simpls",0.22,2.3,-1,0,0,0,1,0,6,0.1711,0.4137,0.3074,0.4323,0.179869565217391
"488606e0a89585c238575f03131e0f33","openml_analcatdata_supreme","mlr","regr.gausspr","Log_exposure",8,4052,"regr.gausspr rbfdot",0.22,2.3,-1,0,0,0,1,0,6,0.0331,0.1819,0.11,0.8907,0.0790869565217391
"51b8e2f48c66ac820cada52aa54d1483","openml_analcatdata_supreme","mlr","regr.svm","Log_exposure",8,4052,"regr.svm polynomial",0.22,2.3,-1,0,0,0,1,0,6,0.3838,0.6195,0.2399,-0.2428,0.269347826086957
"5849e2aea87ed90dd38e7c98bdb64590","openml_analcatdata_supreme","mlr","regr.plsr","Log_exposure",8,4052,"regr.plsr oscorespls",0.22,2.3,-1,0,0,0,1,0,6,0.1711,0.4137,0.3074,0.4323,0.179869565217391
"6fe1f9f980720b71efc6c5ea52585822","openml_analcatdata_supreme","mlr","regr.gausspr","Log_exposure",8,4052,"regr.gausspr vanilladot",0.22,2.3,-1,0,0,0,1,0,6,0.1711,0.4137,0.3074,0.4323,0.179869565217391
"761b17cb819d8ff237dc1a2123dcbda3","openml_analcatdata_supreme","mlr","regr.svm","Log_exposure",8,4052,"regr.svm radial",0.22,2.3,-1,0,0,0,1,0,6,0.0361,0.1901,0.095,0.8807,0.0826521739130435
"aece76ec5ccb179dff9ec77054b75953","openml_analcatdata_supreme","mlr","regr.svm","Log_exposure",8,4052,"regr.svm sigmoid",0.22,2.3,-1,0,0,0,1,0,6,68.5043,8.2767,6.2536,-226.6721,3.5985652173913
"db5736627d99e042713619bfff9de5b1","openml_analcatdata_supreme","mlr","regr.plsr","Log_exposure",8,4052,"regr.plsr kernelpls",0.22,2.3,-1,0,0,0,1,0,6,0.1711,0.4137,0.3074,0.4323,0.179869565217391
"dd3a1d136344582738d15090bbf6ac58","openml_analcatdata_supreme","mlr","regr.gausspr","Log_exposure",8,4052,"regr.gausspr polydot",0.22,2.3,-1,0,0,0,1,0,6,0.1711,0.4137,0.3074,0.4323,0.179869565217391
"0dafe44ce3fe0e84c415260b9dc4f220","openml_auto_price","mlr","regr.gausspr","price",16,159,"regr.gausspr vanilladot",7347.5,29938,0.493433140523988,0,0,1,9,5,0,6914147.8628,2629.4767,1882.3674,0.7765,0.0878307401964059
"1adc10c9186f2ccc42cbb293c0009d0c","openml_auto_price","mlr","regr.plsr","price",16,159,"regr.plsr simpls",7347.5,29938,0.493433140523988,0,0,1,9,5,0,7111593.9813,2666.7572,1915.2552,0.7697,0.0890759970605919
"437d67593eba67c27e223e757a1d72ad","openml_auto_price","mlr","regr.svm","price",16,159,"regr.svm sigmoid",7347.5,29938,0.493433140523988,0,0,1,9,5,0,75994544.8267,8717.485,4864.8463,-1.242,0.291184614870733
"4559bce5b39f66237b1f850b2e4543a0","openml_auto_price","mlr","regr.gausspr","price",16,159,"regr.gausspr rbfdot",7347.5,29938,0.493433140523988,0,0,1,9,5,0,9172452.7405,3028.6057,1781.3488,0.7291,0.101162592691563
"4643106e0373dd8682e15b91bdbd3020","openml_auto_price","mlr","regr.svm","price",16,159,"regr.svm polynomial",7347.5,29938,0.493433140523988,0,0,1,9,5,0,12243798.4042,3499.1139,2024.1006,0.6247,0.116878679270492
"82003a15e55a7702dafd4e106753c3c1","openml_auto_price","mlr","regr.plsr","price",16,159,"regr.plsr kernelpls",7347.5,29938,0.493433140523988,0,0,1,9,5,0,7111596.3146,2666.7576,1915.2566,0.7697,0.0890760104215378
"9b28e92d084bfd519f1b731431248f9a","openml_auto_price","mlr","regr.plsr","price",16,159,"regr.plsr oscorespls",7347.5,29938,0.493433140523988,0,0,1,9,5,0,7111596.3151,2666.7576,1915.2566,0.7697,0.0890760104215378
"a9a0cbdf0a4925168aa15c8d8aeedf76","openml_auto_price","mlr","regr.gausspr","price",16,159,"regr.gausspr polydot",7347.5,29938,0.493433140523988,0,0,1,9,5,0,6922451.3929,2631.0552,1883.8056,0.7762,0.0878834658293807
