"","model","ntrees","mtry","nodesize","target"
"1","classif.randomForest",5750,"4","3",0.5844
"2","classif.cforest",3350,"1","1",0.6259
"3","classif.randomForestSRC",3050,"1","7",0.6225
"4","classif.randomForest",650,"2","2",0.5961
"5","classif.randomForest",9350,"2","3",0.5933
"6","classif.randomForestSRC",1850,"1","1",0.6235
"7","classif.randomForestSRC",1250,"1","7",0.6312
"8","classif.randomForestSRC",5750,"2","7",0.6207
"9","classif.randomForest",9950,"3","1",0.5692
"10","classif.cforest",2750,"2","1",0.6273
"11","classif.randomForest",650,"4","1",0.554
"12","classif.randomForestSRC",2450,"4","7",0.5933
"13","classif.randomForest",8750,"1","3",0.5778
"14","classif.randomForest",6950,"3","1",0.572
"15","classif.randomForest",2450,"2","3",0.5954
"16","classif.randomForest",7850,"2","1",0.5965
"17","classif.randomForest",7550,"4","3",0.5755
"18","classif.randomForestSRC",4550,"4","3",0.6027
"19","classif.h2o.randomForest",4700,"2","4700",0.6075
"20","classif.randomForestSRC",6050,"3","2",0.5934
"21","classif.randomForestSRC",8450,"1","7",0.6274
"22","classif.h2o.randomForest",2700,"2","2700",0.5959
"23","classif.cforest",3350,"3","1",0.6318
"24","classif.randomForestSRC",2750,"3","3",0.5965
"25","classif.randomForestSRC",2450,"3","2",0.5904
"26","classif.randomForestSRC",950,"2","1",0.598
"27","classif.randomForestSRC",9050,"4","3",0.5997
"28","classif.randomForestSRC",9350,"2","2",0.6006
"29","classif.randomForestSRC",6050,"2","7",0.6205
"30","classif.randomForest",3650,"1","3",0.5861
"31","classif.randomForest",4850,"3","3",0.5877
"32","classif.randomForestSRC",6050,"1","7",0.6229
"33","classif.randomForestSRC",3050,"3","2",0.5963
"34","classif.randomForest",6950,"2","7",0.6036
"35","classif.randomForest",4850,"4","1",0.5772
"36","classif.randomForestSRC",9350,"2","1",0.5978
"37","classif.randomForest",3650,"4","1",0.5735
"38","classif.randomForestSRC",1250,"3","3",0.5957
"39","classif.randomForest",4550,"3","7",0.6023
"40","classif.h2o.randomForest",7200,"1","7200",0.6171
"41","classif.randomForest",5150,"3","1",0.5694
"42","classif.h2o.randomForest",1700,"2","1700",0.5976
"43","classif.randomForest",3950,"1","1",0.5735
"44","classif.randomForestSRC",2450,"4","2",0.5927
"45","classif.randomForestSRC",1250,"1","3",0.6234
"46","classif.randomForestSRC",2450,"3","1",0.5903
"47","classif.cforest",350,"4","1",0.6222
"48","classif.randomForestSRC",2150,"1","1",0.6243
"49","classif.randomForestSRC",3050,"1","2",0.6238
"50","classif.randomForest",1550,"4","7",0.6023
"51","classif.randomForest",6050,"2","3",0.5973
"52","classif.randomForest",650,"2","7",0.5957
"53","classif.randomForestSRC",5450,"1","2",0.6301
"54","classif.randomForestSRC",5750,"3","7",0.6047
"55","classif.randomForestSRC",3650,"3","2",0.5903
"56","classif.randomForest",5450,"2","1",0.5921
"57","classif.randomForest",4550,"1","7",0.5875
"58","classif.randomForest",9050,"1","1",0.5766
"59","classif.randomForestSRC",6650,"2","1",0.5946
"60","classif.randomForest",1250,"3","7",0.6027
"61","classif.cforest",4850,"4","1",0.6223
"62","classif.randomForest",7550,"1","2",0.5745
"63","classif.randomForestSRC",4550,"2","7",0.6234
"64","classif.randomForest",9650,"1","2",0.575
"65","classif.cforest",9050,"4","1",0.6223
"66","classif.randomForest",1550,"2","1",0.5958
"67","classif.randomForestSRC",3650,"1","3",0.6313
"68","classif.cforest",2150,"1","1",0.6274
"69","classif.randomForest",2750,"1","3",0.5874
"70","classif.cforest",7550,"2","2",0.6303
"71","classif.randomForestSRC",7850,"2","2",0.5993
"72","classif.randomForest",3050,"1","1",0.5679
"73","classif.randomForest",8750,"2","3",0.5941
"74","classif.cforest",9950,"4","1",0.624
"75","classif.randomForest",6350,"2","3",0.5985
"76","classif.randomForest",350,"1","2",0.5546
"77","classif.randomForestSRC",4550,"2","2",0.5985
"78","classif.randomForest",2750,"4","2",0.5718
"79","classif.randomForestSRC",2750,"4","7",0.5991
"80","classif.randomForestSRC",6050,"3","1",0.5917
"81","classif.cforest",8450,"1","2",0.6256
"82","classif.randomForestSRC",1250,"1","2",0.6233
"83","classif.randomForestSRC",5150,"3","3",0.5973
"84","classif.randomForestSRC",6650,"1","2",0.628
"85","classif.randomForestSRC",1250,"2","2",0.5959
"86","classif.randomForest",6050,"1","3",0.587
"87","classif.randomForest",8750,"2","2",0.5911
"88","classif.randomForestSRC",8750,"1","3",0.6313
"89","classif.randomForestSRC",1850,"3","2",0.593
"90","classif.cforest",8150,"4","1",0.624
"91","classif.randomForestSRC",8750,"1","1",0.6292
"92","classif.randomForest",9650,"2","2",0.5867
"93","classif.randomForest",9050,"4","2",0.5758
"94","classif.cforest",4550,"3","1",0.6282
"95","classif.randomForest",1550,"3","1",0.5674
"96","classif.h2o.randomForest",8900,"2","8900",0.6016
"97","classif.randomForest",9650,"1","7",0.5901
"98","classif.randomForestSRC",2450,"3","7",0.6053
"99","classif.randomForest",6050,"3","2",0.5892
"100","classif.randomForest",7250,"1","2",0.5764
"101","classif.cforest",350,"3","2",0.6307
"102","classif.cforest",9650,"1","2",0.6262
"103","classif.randomForest",8450,"1","1",0.5767
"104","classif.cforest",8750,"1","2",0.6263
"105","classif.randomForest",9950,"4","2",0.5733
"106","classif.randomForestSRC",5750,"3","2",0.5925
"107","classif.randomForestSRC",950,"4","1",0.5771
"108","classif.cforest",1250,"3","2",0.6314
"109","classif.randomForest",9650,"2","3",0.5967
"110","classif.randomForest",8150,"4","1",0.578
"111","classif.randomForestSRC",4550,"3","3",0.5946
"112","classif.randomForest",8450,"4","3",0.577
"113","classif.randomForest",3950,"4","1",0.5695
"114","classif.randomForest",7250,"4","7",0.5963
"115","classif.randomForestSRC",4850,"3","1",0.5956
"116","classif.randomForest",1250,"3","3",0.5811
"117","classif.randomForestSRC",6650,"3","7",0.6091
"118","classif.randomForestSRC",1850,"2","1",0.6008
"119","classif.h2o.randomForest",1200,"2","1200",0.5981
"120","classif.randomForestSRC",6950,"4","1",0.5896
"121","classif.randomForestSRC",2450,"1","1",0.631
"122","classif.randomForestSRC",4550,"4","1",0.5908
"123","classif.randomForestSRC",7550,"1","1",0.6322
"124","classif.randomForest",9350,"4","1",0.5783
"125","classif.randomForestSRC",7250,"4","3",0.5953
"126","classif.randomForestSRC",50,"4","3",0.599
"127","classif.randomForestSRC",6950,"3","7",0.6047
"128","classif.randomForest",1550,"4","3",0.5766
"129","classif.randomForestSRC",3050,"3","1",0.5936
"130","classif.randomForestSRC",7250,"2","7",0.6234
"131","classif.randomForestSRC",8150,"2","7",0.626
"132","classif.randomForest",6650,"1","3",0.5871
"133","classif.randomForestSRC",8450,"3","1",0.5909
"134","classif.randomForestSRC",2750,"3","2",0.5898
"135","classif.randomForest",9350,"4","7",0.5956
"136","classif.randomForestSRC",5150,"1","7",0.6223
"137","classif.randomForest",4850,"1","3",0.5845
"138","classif.randomForestSRC",350,"3","3",0.5874
"139","classif.randomForestSRC",2750,"2","7",0.6242
"140","classif.cforest",1850,"4","1",0.627
"141","classif.randomForest",3950,"3","1",0.5693
"142","classif.randomForestSRC",7850,"3","1",0.5957
"143","classif.randomForest",8150,"4","3",0.5814
"144","classif.randomForest",1550,"2","2",0.5996
"145","classif.cforest",950,"2","2",0.627
"146","classif.randomForestSRC",350,"3","2",0.5993
"147","classif.cforest",7250,"3","1",0.6316
"148","classif.randomForest",4850,"1","2",0.5859
"149","classif.randomForest",6950,"1","1",0.5805
"150","classif.randomForestSRC",1550,"1","7",0.6174
"151","classif.randomForest",3950,"4","2",0.5709
"152","classif.cforest",8750,"4","1",0.6229
"153","classif.randomForestSRC",350,"3","7",0.6029
"154","classif.randomForestSRC",5150,"2","7",0.6223
"155","classif.cforest",6350,"1","2",0.6246
"156","classif.randomForestSRC",2450,"2","1",0.5955
"157","classif.randomForest",6050,"3","3",0.5847
"158","classif.randomForest",2150,"4","1",0.5716
"159","classif.randomForestSRC",3050,"2","1",0.598
"160","classif.randomForestSRC",8450,"4","3",0.5966
"161","classif.randomForest",4250,"1","3",0.582
"162","classif.cforest",1550,"1","1",0.6225
"163","classif.cforest",650,"1","1",0.6279
"164","classif.randomForest",2450,"4","2",0.5718
"165","classif.randomForestSRC",1850,"1","2",0.6235
"166","classif.randomForest",350,"2","2",0.5929
"167","classif.cforest",1550,"1","2",0.6225
"168","classif.cforest",2450,"2","2",0.6297
"169","classif.randomForestSRC",6650,"1","1",0.6322
"170","classif.randomForest",3950,"3","7",0.6018
"171","classif.randomForest",3050,"3","7",0.5999
"172","classif.randomForest",9050,"3","1",0.5709
"173","classif.cforest",3050,"3","1",0.6296
"174","classif.randomForestSRC",5150,"1","3",0.6302
"175","classif.randomForestSRC",5750,"1","7",0.6243
"176","classif.randomForestSRC",1250,"1","1",0.6242
"177","classif.randomForestSRC",1250,"3","7",0.6118
"178","classif.cforest",7550,"1","1",0.6251
"179","classif.randomForest",1850,"2","7",0.5887
"180","classif.randomForestSRC",50,"3","7",0.6051
"181","classif.cforest",6050,"4","1",0.6235
"182","classif.randomForest",1850,"2","1",0.6006
"183","classif.randomForest",6650,"2","3",0.5955
"184","classif.cforest",50,"1","2",0.6075
"185","classif.randomForest",5150,"2","7",0.6044
"186","classif.randomForestSRC",8150,"4","2",0.5879
"187","classif.randomForest",2750,"4","7",0.5911
"188","classif.cforest",3050,"1","2",0.6251
"189","classif.cforest",350,"2","1",0.6226
"190","classif.randomForestSRC",8750,"1","2",0.6331
"191","classif.randomForest",3950,"1","3",0.5856
"192","classif.randomForest",6350,"4","7",0.5933
"193","classif.cforest",4550,"4","1",0.6242
"194","classif.randomForestSRC",7850,"2","7",0.6217
"195","classif.randomForest",6350,"4","3",0.5866
"196","classif.randomForestSRC",5450,"2","1",0.5997
"197","classif.randomForestSRC",9050,"1","1",0.6265
"198","classif.cforest",6050,"2","1",0.6297
"199","classif.randomForest",8450,"4","7",0.594
"200","classif.cforest",1250,"3","1",0.6314
"201","classif.randomForestSRC",950,"1","3",0.6257
"202","classif.randomForest",7250,"1","7",0.5893
"203","classif.randomForest",3350,"2","3",0.5973
"204","classif.cforest",3350,"4","1",0.6198
"205","classif.randomForestSRC",1550,"1","1",0.6287
"206","classif.randomForest",50,"2","3",0.6008
"207","classif.cforest",3650,"3","1",0.6323
"208","classif.cforest",6350,"4","1",0.6229
"209","classif.randomForestSRC",4550,"1","2",0.6312
"210","classif.randomForest",3050,"2","3",0.6007
"211","classif.randomForestSRC",8450,"3","3",0.5998
"212","classif.randomForest",2750,"1","2",0.5806
"213","classif.randomForestSRC",1250,"2","1",0.5863
"214","classif.randomForest",2750,"1","7",0.5891
"215","classif.randomForest",5150,"4","3",0.5841
"216","classif.randomForest",1550,"1","1",0.5867
"217","classif.randomForestSRC",350,"2","2",0.6049
"218","classif.randomForestSRC",9650,"3","3",0.6014
"219","classif.cforest",2750,"2","2",0.6273
"220","classif.randomForest",3950,"2","2",0.5884
"221","classif.randomForestSRC",1550,"2","2",0.5929
"222","classif.randomForestSRC",4250,"3","3",0.6001
"223","classif.randomForest",8450,"2","1",0.59
"224","classif.randomForestSRC",2150,"2","1",0.5942
"225","classif.randomForest",2450,"4","1",0.5691
"226","classif.randomForest",950,"4","1",0.5786
"227","classif.randomForestSRC",7550,"4","7",0.5943
"228","classif.randomForestSRC",1850,"4","7",0.6015
"229","classif.randomForestSRC",8150,"4","3",0.5954
"230","classif.randomForestSRC",6050,"4","1",0.587
"231","classif.randomForestSRC",650,"1","3",0.6181
"232","classif.randomForestSRC",4250,"1","7",0.6265
"233","classif.cforest",9950,"2","1",0.6326
"234","classif.randomForest",3050,"3","1",0.5724
"235","classif.randomForestSRC",7250,"1","7",0.6293
"236","classif.randomForestSRC",4250,"2","3",0.6089
"237","classif.randomForestSRC",50,"2","3",0.6078
"238","classif.randomForestSRC",50,"2","7",0.6094
"239","classif.randomForest",6950,"1","3",0.5866
"240","classif.randomForest",9950,"2","2",0.5947
"241","classif.cforest",1550,"2","2",0.6355
"242","classif.randomForestSRC",9050,"4","1",0.592
"243","classif.randomForestSRC",950,"2","7",0.623
"244","classif.randomForest",650,"2","3",0.5906
"245","classif.cforest",4550,"2","1",0.635
"246","classif.cforest",4850,"2","2",0.6333
"247","classif.h2o.randomForest",7500,"2","7500",0.5954
"248","classif.cforest",3650,"3","2",0.6323
"249","classif.randomForest",4850,"3","7",0.5993
"250","classif.randomForest",1250,"1","7",0.5814
"251","classif.randomForestSRC",8150,"2","2",0.6004
"252","classif.randomForest",7550,"4","7",0.5929
"253","classif.cforest",4850,"2","1",0.6333
"254","classif.randomForest",9050,"1","3",0.5802
"255","classif.randomForest",9350,"3","1",0.5718
"256","classif.randomForestSRC",1850,"2","7",0.6307
"257","classif.randomForestSRC",9950,"4","1",0.5897
"258","classif.randomForestSRC",950,"1","1",0.6274
"259","classif.randomForestSRC",7250,"1","1",0.6293
"260","classif.randomForest",9950,"3","7",0.6031
"261","classif.cforest",9350,"4","1",0.6229
"262","classif.randomForest",1850,"1","2",0.5859
"263","classif.cforest",7250,"4","1",0.6247
"264","classif.randomForest",4250,"1","2",0.5831
"265","classif.randomForest",2450,"2","1",0.5878
"266","classif.cforest",6650,"2","2",0.6314
"267","classif.randomForest",50,"3","3",0.5762
"268","classif.randomForest",6050,"1","1",0.5808
"269","classif.randomForest",1850,"4","1",0.5605
"270","classif.randomForest",950,"2","2",0.6028
"271","classif.randomForestSRC",7550,"4","3",0.5939
"272","classif.randomForestSRC",9050,"2","2",0.5977
"273","classif.randomForest",1550,"3","3",0.5793
"274","classif.randomForest",2750,"2","2",0.5964
"275","classif.randomForestSRC",7250,"3","7",0.5995
"276","classif.randomForestSRC",2750,"4","3",0.5882
"277","classif.randomForest",2450,"2","7",0.5925
"278","classif.randomForest",9950,"3","2",0.5785
"279","classif.randomForestSRC",9650,"4","1",0.5911
"280","classif.randomForest",5750,"1","1",0.5797
"281","classif.randomForestSRC",9050,"3","3",0.5959
"282","classif.randomForest",7250,"4","2",0.5768
"283","classif.h2o.randomForest",5400,"2","5400",0.6035
"284","classif.randomForestSRC",4850,"4","2",0.5942
"285","classif.randomForestSRC",3050,"2","7",0.6219
"286","classif.randomForest",3950,"1","2",0.5825
"287","classif.randomForest",6650,"3","2",0.5844
"288","classif.randomForest",2150,"3","1",0.5614
"289","classif.randomForestSRC",3350,"4","3",0.5992
"290","classif.randomForest",5150,"4","7",0.5968
"291","classif.randomForestSRC",7850,"1","7",0.6272
"292","classif.randomForest",6650,"3","3",0.5893
"293","classif.randomForestSRC",5750,"4","3",0.5921
"294","classif.randomForestSRC",6950,"3","2",0.5929
"295","classif.h2o.randomForest",5200,"1","5200",0.618
"296","classif.randomForestSRC",1850,"2","3",0.6058
"297","classif.randomForestSRC",7850,"4","1",0.5904
"298","classif.randomForestSRC",4850,"2","3",0.6116
"299","classif.randomForestSRC",1250,"3","1",0.5819
"300","classif.cforest",3950,"1","1",0.6252
"301","classif.randomForest",6950,"3","3",0.5856
"302","classif.randomForest",7850,"3","7",0.603
