"Zuzanna","Lena","Maja","Hanna","Zofia","Amelia","Natalia","Wiktoria","Emilia","Antonina","Laura","Anna","Nadia","Liliana"
FALSE,0.675675675675676,0.710532793762404,0.255813953488372,0.7875,0.127694859038143,FALSE,1,0.735326393741223,0.33,0.1,0.25,FALSE,FALSE
FALSE,0.945945945945946,0.217830593931608,0.375968992248062,1,0.33167495854063,FALSE,0.71,0,0.41,0.17,1,FALSE,TRUE
FALSE,0.810810810810811,0.693280356188238,0.406976744186047,1,0.669983416252073,FALSE,0.57,0,0.26,0.36,1,FALSE,TRUE
FALSE,0.77027027027027,0.319116052112065,0.298449612403101,0.9625,0.5787728026534,FALSE,0.46,0.697623619682323,0.22,0.07,0.75,FALSE,FALSE
FALSE,0.756756756756757,0.57309699081281,0.391472868217054,1,0.343283582089552,FALSE,0.58,0,0.24,0.21,1,FALSE,TRUE
FALSE,0.810810810810811,0.492702199830796,0.5,0.9125,0.734660033167496,FALSE,0.75,0.868947595105977,0.41,0.27,0.625,FALSE,FALSE
FALSE,0.608108108108108,0,0.0581395348837209,1,0.0447761194029851,FALSE,0.8,0,0.9,0.1,1,FALSE,TRUE
FALSE,0.648648648648649,0.603661671809089,0.27906976744186,0.8875,0.39469320066335,FALSE,0.44,0.312875576684143,0.21,0.33,0.25,FALSE,FALSE
FALSE,0.905405405405405,0.492702199830796,0.383720930232558,1,0.164179104477612,FALSE,0.38,0,0.29,0.03,1,FALSE,TRUE
FALSE,0.486486486486487,0.858688934580978,0.0968992248062016,0.375,0.0796019900497512,FALSE,0.71,0.247948028217937,0.25,0.08,0.75,FALSE,FALSE
TRUE,0,0,0,0,0,TRUE,0,0,0,0,0,TRUE,TRUE
FALSE,0.567567567567568,0.818319750837529,0.0542635658914729,1,0,FALSE,1,0,0,0,1,TRUE,TRUE
FALSE,0.513513513513513,0.873755264548486,0.24031007751938,0.75,0.207296849087894,FALSE,0.83,0.156437788342072,0.6,0.1,0.75,FALSE,FALSE
FALSE,0.810810810810811,0.435661187863216,0.310077519379845,1,0.588723051409619,FALSE,0.57,0,0.23,0.27,1,FALSE,TRUE
FALSE,0.581081081081081,0,0.166666666666667,0.875,0.203980099502488,FALSE,0.6,0.363237295853499,0.62,0.29,0.75,FALSE,FALSE
FALSE,0.594594594594595,0.750321368155817,0.302325581395349,0.6625,0.286898839137645,FALSE,0.74,0.404385816560008,0.42,0.26,0.625,FALSE,FALSE
FALSE,0.716216216216216,0.137435802949594,0.209302325581395,0.9,0,FALSE,0.57,0.312875576684143,0.15,0.19,0.75,TRUE,FALSE
FALSE,0.635135135135135,0.818319750837529,0.0658914728682171,1,0.222222222222222,FALSE,0.75,0,0.25,0.49,1,FALSE,TRUE
FALSE,0.959459459459459,0.217830593931608,0.472868217054264,1,0.557213930348259,FALSE,0.27,0,0.18,0.17,1,FALSE,TRUE
FALSE,0.608108108108108,0.86885926391044,0.13953488372093,1,0.228855721393035,FALSE,1,0,0.4,0.05,1,FALSE,TRUE
TRUE,0,0,0,0,0,TRUE,0,0,0,0,0,TRUE,TRUE
FALSE,0.864864864864865,0.217830593931608,0.418604651162791,0.9375,0.562189054726368,FALSE,0.5,0.891764182083294,0.23,0.43,0.75,FALSE,FALSE
FALSE,0.878378378378378,0.653491781794824,0.511627906976744,1,0.328358208955224,FALSE,1,0,0.6,0.05,1,FALSE,TRUE
FALSE,0.472972972972973,0.674382448993267,0.461240310077519,0.725,0.524046434494196,FALSE,0.5,0.156437788342072,0.26,0.23,0.625,FALSE,FALSE
FALSE,0.797297297297297,0.612885565206223,0.275193798449612,1,0.172470978441128,FALSE,1,0,0,0.03,1,FALSE,TRUE
FALSE,0.810810810810811,0.58381732868179,0.251937984496124,1,0.202321724709784,FALSE,0.83,0,0.42,0.19,1,FALSE,TRUE
FALSE,0.864864864864865,0.561763737613868,0.143410852713178,1,0.154228855721393,FALSE,0.75,0,0.29,0.07,1,FALSE,TRUE
FALSE,0.648648648648649,0.794565814368695,0.186046511627907,1,0.290215588723051,FALSE,0.83,0,0.28,0.29,1,FALSE,TRUE
FALSE,0.72972972972973,0.704947129989546,0.341085271317829,1,0.338308457711443,FALSE,0.75,0,0.4,0.64,1,FALSE,TRUE
FALSE,0.72972972972973,0,0.186046511627907,0.375,0.150912106135987,TRUE,1,0,1,0.02,0.875,FALSE,TRUE
FALSE,0.918918918918919,0.385831077877481,0.282945736434109,1,0.311774461028192,FALSE,0.43,0,0.25,0.16,1,FALSE,TRUE
FALSE,0.837837837837838,0.612885565206223,0.313953488372093,1,0.563847429519071,FALSE,0.48,0,0.44,0.84,1,FALSE,TRUE
FALSE,0.675675675675676,0.680883947887935,0.182170542635659,1,0.235489220563847,FALSE,0.55,0,0.19,0.16,1,FALSE,TRUE
FALSE,0.702702702702703,0.805096321728818,0.290697674418605,0.9375,0.487562189054726,FALSE,0.91,0.868947595105977,0.62,0.21,0.75,FALSE,FALSE
FALSE,0.72972972972973,0.845195433306077,0.27906976744186,1,0.262023217247098,FALSE,0.63,0,0.41,0.27,1,FALSE,TRUE
FALSE,0.554054054054054,0.667660518779224,0.236434108527132,0.8625,0.315091210613599,FALSE,0.55,0.541185831340252,0.14,0.45,0.75,FALSE,FALSE
