"Y";"Zuzanna";"Julia";"Lena";"Maja";"Hanna";"Zofia";"Amelia";"Alicja";"Aleksandra";"Natalia";"Oliwia";"Maria";"Wiktoria";"Emilia";"Antonina";"Laura";"Anna";"Nadia";"Pola";"Liliana";"Nikola";"Gabriela"
FALSE;0;0;70;35;66;83;77;0;0;0;0;0;100;25;33;10;2;0;0;0;0;0
FALSE;0;0;90;2;97;100;200;1;0;0;0;0;71;0;41;17;8;0;0;1;0;0
FALSE;0;0;80;32;105;100;404;3;0;0;0;0;57;0;26;36;8;0;0;1;0;0
FALSE;0;0;77;4;77;97;349;1;0;0;0;0;46;21;22;7;6;0;0;0;0;0
FALSE;0;0;76;17;101;100;207;0;0;0;0;0;58;0;24;21;8;0;0;1;0;0
FALSE;0;0;80;11;129;93;443;3;0;0;0;0;75;46;41;27;5;0;0;0;0;0
FALSE;0;0;65;0;15;100;27;0;0;0;0;0;80;0;90;10;8;0;0;1;0;0
FALSE;0;0;68;20;72;91;238;0;0;0;0;0;44;3;21;33;2;0;0;0;0;0
FALSE;0;0;87;11;99;100;99;0;0;0;0;0;38;0;29;3;8;0;0;1;0;0
FALSE;0;0;56;75;25;50;48;0;0;0;0;0;71;2;25;8;6;0;0;0;0;0
FALSE;1;1;20;0;0;20;0;0;1;1;1;1;0;0;0;0;0;1;1;1;1;1
FALSE;0;0;62;61;14;100;0;1;0;0;0;0;100;0;0;0;8;1;0;1;0;0
FALSE;0;0;58;81;62;80;125;2;0;0;0;0;83;1;60;10;6;0;0;0;0;0
FALSE;0;0;80;8;80;100;355;5;0;0;0;0;57;0;23;27;8;0;0;1;0;0
FALSE;0;0;63;0;43;90;123;6;0;0;0;0;60;4;62;29;6;0;0;0;0;0
FALSE;0;0;64;43;78;73;173;1;0;0;0;0;74;5;42;26;5;0;0;0;0;0
FALSE;0;0;73;1;54;92;0;0;0;0;0;0;57;3;15;19;6;1;0;0;0;0
FALSE;0;0;67;61;17;100;134;2;0;0;0;0;75;0;25;49;8;0;0;1;0;0
FALSE;0;0;91;2;122;100;336;0;0;0;0;0;27;0;18;17;8;0;0;1;0;0
